robots,experiment,steps,time,effectiveness
3,0,54,13.784210681915283,0.9441676262503736
3,1,59,12.946838617324829,0.9526229669043336
3,2,57,13.638336420059204,0.9478876756592257
3,3,78,20.958264350891113,0.7418875894130277
3,4,56,13.544533967971802,0.9558868268613198
3,5,56,13.473769664764404,0.9571596050451519
3,6,82,22.74429225921631,0.7186554848771227
3,7,57,12.964897632598877,0.9363086636451186
3,8,55,13.286928176879883,0.9539538586825721
3,9,66,16.396648406982422,0.8434842681394692
3,10,61,14.061347961425781,0.9478892486406301
3,11,53,12.350774765014648,0.9403497642130911
3,12,65,14.184316635131836,0.9424266875834201
3,13,54,12.545356273651123,0.9416946751329508
3,14,60,14.516680479049683,0.9313959583431975
3,15,61,14.394206762313843,0.9485506324574766
3,16,56,13.00171947479248,0.9365915598347584
3,17,56,14.077287673950195,0.9289910200209314
3,18,78,20.893680572509766,0.750153563471344
3,19,54,12.355459690093994,0.9445615846874347
3,20,55,13.969690561294556,0.9601815918590751
3,21,60,14.898669242858887,0.8553351866818195
3,22,63,15.915904521942139,0.8299190643054385
3,23,59,15.50397801399231,0.9056288143259967
3,24,67,16.640523672103882,0.8805806266958238
3,25,61,13.081187963485718,0.9511648578290175
3,26,53,12.588303565979004,0.9523494632214551
3,27,62,13.669157266616821,0.9462808481112318
3,28,61,14.055475950241089,0.9123210176689067
3,29,64,14.778064966201782,0.9023979172355026
4,0,70,37.376670598983765,0.8787056229370919
4,1,63,33.996267795562744,0.946173975228802
4,2,71,46.99486565589905,0.8591410710290011
4,3,71,38.86339545249939,0.9082426303276963
4,4,93,57.61214828491211,0.7075083300317391
4,5,65,37.15499186515808,0.9308370336355064
4,6,87,58.056143045425415,0.746415083827658
4,7,65,34.67766976356506,0.9583639177967751
4,8,94,57.45566248893738,0.7028784792826411
4,9,65,35.18228220939636,0.9350055149137025
4,10,68,45.01781630516052,0.8790408671276179
4,11,74,38.945000886917114,0.8874462738500707
4,12,66,35.1004581451416,0.953675318648536
4,13,75,46.314014196395874,0.841074181333578
4,14,97,65.5768449306488,0.6501359698449058
4,15,109,63.75658369064331,0.6625227769456464
4,16,75,41.45552968978882,0.8773716785085259
4,17,76,48.31743788719177,0.8398825882979671
4,18,71,38.178122997283936,0.9091494535725912
4,19,65,34.167964458465576,0.9375252931569792
4,20,73,38.01320838928223,0.8665759799067736
4,21,67,38.62189245223999,0.8862768159591851
4,22,70,43.96432137489319,0.8540623293794244
4,23,70,35.21044921875,0.9301680497786002
4,24,94,60.823519229888916,0.681051181653462
4,25,64,35.078036308288574,0.942759942802457
4,26,71,38.846075773239136,0.8851892667120378
4,27,68,35.50695729255676,0.9349887987292078
4,28,69,36.17837333679199,0.9358841979496133
4,29,73,41.334275007247925,0.8818880919353684
5,0,82,56.525296211242676,0.8761540914265674
5,1,86,62.69569659233093,0.8547461061073353
5,2,78,59.6878867149353,0.8601886964164042
5,3,84,60.81722021102905,0.8701632627422758
5,4,79,59.495227336883545,0.9211068867206805
5,5,71,53.124675273895264,0.9401407228496497
5,6,87,61.13207244873047,0.8808495797080644
5,7,125,79.51408243179321,0.7164531809072539
5,8,119,74.10474371910095,0.7376576417342521
5,9,74,55.99411630630493,0.9185585644968065
5,10,88,59.01562690734863,0.8937159602194159
5,11,76,60.871142864227295,0.8977313568711889
5,12,102,67.53943109512329,0.8074764512779041
5,13,94,63.0518524646759,0.8715089876805446
5,14,102,74.55652856826782,0.8152609466982305
5,15,93,61.19141149520874,0.8635705438898087
5,16,87,63.16488027572632,0.8683740110798729
5,17,82,60.188480377197266,0.892149511763999
5,18,80,63.50567269325256,0.8769778919771
5,19,90,61.95155954360962,0.8696575454875879
5,20,84,61.21685814857483,0.8451569317831911
5,21,75,61.89285182952881,0.8821050987281056
5,22,79,58.93977069854736,0.8836776579715874
5,23,92,60.34188914299011,0.8609709836850383
5,24,79,59.93069052696228,0.9030171247532809
5,25,74,55.69687843322754,0.9360467093855704
5,26,81,66.60289978981018,0.8711104143948974
5,27,81,60.72644090652466,0.873301685061753
5,28,95,72.4087905883789,0.851985364114097
5,29,95,69.25738406181335,0.8338461146037204
6,0,103,102.19404149055481,0.8356811015287446
6,1,97,91.93462944030762,0.8802130075935246
6,2,99,96.36225771903992,0.8642045951782625
6,3,92,89.76138925552368,0.898623586407508
6,4,83,89.49031639099121,0.9082843856153714
6,5,96,89.20638370513916,0.8787053897412471
6,6,84,88.98958492279053,0.8980649991893584
6,7,95,87.36640095710754,0.8775492757279443
6,8,84,84.87040972709656,0.8936162128770876
6,9,81,76.28668427467346,0.9162959993307215
6,10,88,87.34712815284729,0.9007931085050106
6,11,98,87.26745963096619,0.8591189682216803
6,12,98,87.72579336166382,0.8462992529856972
6,13,98,97.73439574241638,0.8468902441844673
6,14,97,85.75211763381958,0.8852772777032708
6,15,92,90.0325493812561,0.8723938269450341
6,16,86,87.73284554481506,0.8855348156216337
6,17,82,79.20621490478516,0.9190280701543989
6,18,96,89.12013292312622,0.8822462230270705
6,19,92,82.94581174850464,0.8808887179035999
6,20,96,94.4144561290741,0.8322398676698634
6,21,90,83.30544948577881,0.895309387229467
6,22,126,104.84812617301941,0.7648469713760636
6,23,87,83.38710904121399,0.8974763516197395
6,24,99,85.24337530136108,0.8774593443873494
6,25,86,84.90663862228394,0.8967540347773229
6,26,83,85.54410600662231,0.897082874048677
6,27,92,87.0875780582428,0.8520922538910981
6,28,97,84.97466206550598,0.8764848802381335
6,29,95,86.5866208076477,0.8812062505280462
